Date,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01
VED receipts (outturn),4.33,4.63,4.87,4.61,4.1,4.29,4.72,4.76,4.76,5.01,5.38,5.52,5.63,5.84,5.82,5.88,6.1,5.97,5.9,5.99,6.23,6.51,7,6.96,7.05,7.33
VED receipts (inflation adjusted),7.44,7.83,8.12,7.58,6.63,6.79,7.28,7.16,6.95,7.09,7.45,7.4,7.4,7.57,7.38,7.35,7.47,7.22,7.08,7.05,7.2,7.41,7.8,7.3,7.4,7.33
