0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Date,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01
Cost of Living,0,0.24,0.59,0.67,0.83,0.71,1.1,1.34,1.38,1.14,1.3,0.47,0.98,1.14,1.49,1.69,1.85,1.73,2.2,2.12,2.08,2.2,2.52,1.81,2.28,2.71,2.83,3.11,3.5,3.62,4.01,4.21,4.17,4.45,5.07,4.45,5.59,5.94,6.45,6.88,7.12,7.36,8.06,8.22,8.3,8.5,9.4,8.58,9.4,9.48,10.03,10.42,10.74,10.82,11.8,11.76,11.92,11.96,12.35,11.33,12.12,12.16,13.38,13.77,13.93,13.89,14.75,14.48,14.24,14.48,14.83,14.32,14.87,15.11,15.11,14.95,15.15,15.74,15.38,15.77,15.77,15.46,16.21,15.89,16.44,16.8,18.45,18.76,19.59,20.18,20.93,21.4,22.74,23.64,24.98,24.98,25.96,27.26,31.63,32.61,33.75,35.01,35.8,36.74,40.13,40.95,41.78,41.74,43.39,44.45,46.66,47.64,48.07,47.21,48.15,48.86,48.62,48.43,49.1,48.7
All motoring,0,-0.21,-0.04,0,-0.62,-0.17,-0.58,-0.75,-1.5,-2.54,-3.17,-5.83,-6.08,-5.12,-4.54,-4.12,-3.88,-4.17,-4.58,-5.83,-5.79,-5.25,-5.79,-6.29,-6.42,-6.04,-5.54,-4.21,-3.21,-2.75,-3.46,-2.67,-2.25,-0.71,-0.87,0.42,1.71,2.04,2.08,1.67,1.83,1.79,2.42,3.5,3.58,4.75,4.67,5.12,5.62,5.33,5.79,6.75,7.67,7.21,7.67,8.58,8.67,8.21,7.25,6.75,6.83,7.33,8.12,9.5,9.42,8.83,9.17,8.96,9.12,9.38,9.54,10.38,10.17,10.38,7.67,6.75,7,7.5,8.38,8.88,9.21,8.38,8.79,9.12,9.29,10.04,10.5,11.5,13.75,16.5,19.17,20.13,22.08,24.71,25.63,26.96,27.25,30.25,30.92,32.12,34.83,37.67,36,36.21,35.88,38.38,37.58,37.12,38.12,39.04,41.54,42.29,42.58,44.21,45.33,47.75,47.62,46.83,44.79,44.71
Rail fares,0,-0.56,0.85,0.08,0.75,0.98,0.29,0.37,0.48,1.17,0.61,1.6,2.98,2.24,2.98,2.05,2.24,3.59,2.79,2.24,2,1.94,1.94,2.34,2.87,3.83,3.03,2.71,0.93,3.3,2.56,2.64,2.18,2.32,3.06,4.66,4.92,5.08,7.13,7.03,5.03,6.25,5.35,5.06,5.32,5.27,5.03,7.67,8.14,8.38,8.25,8.94,7.69,10.97,9.58,9.66,8.09,8.94,8.73,12.24,13.1,12.83,15.44,12.46,14.05,14.05,13.44,12.8,12.51,11.9,13.02,14.51,16.8,15.7,18.31,15.01,16.77,15.41,15.17,15.41,15.12,14.4,15.65,14.59,17.43,18.9,22.31,18.15,20.44,18.71,19.16,17.65,18.63,19.7,20.12,18.37,20.95,25.37,27.1,23.74,25.53,28.45,28.51,26.64,26.64,25.71,27.42,24.49,26.46,31.01,32.53,31.38,32.77,34.15,34.34,33.54,34.02,31.25,31.89,30.05
Bus & coach fares,0,-0.51,5.36,0.91,1.45,2.73,2.71,1.93,1.37,1.31,2.57,1.31,4.48,3.08,4.77,3.4,3.81,6.68,6.62,5.95,4.75,5.5,9.01,7.16,6.43,6.09,6.62,6.62,8.04,9.38,11.29,9.65,10.21,11.55,15.09,18.12,23.38,22.68,24.91,24.64,24.26,25.15,25.9,25.23,25.39,27.21,27.37,26.11,31.8,26.7,30.59,27.75,29.6,33.35,34.72,31.98,29.38,29.03,33.99,29.71,31.18,30.43,42.25,30.78,33.16,34.93,37.8,34.61,32.44,31.72,34.85,31.1,36.09,32.31,33.27,33.24,33.3,43.38,62.47,57.72,48.02,47.88,59.52,59.54,59.71,59.84,61.69,56.62,54.8,56.11,50.59,49.3,48.71,50.29,59.17,49.97,52.79,52.68,62.17,56.65,59.95,61.58,63.78,62.55,60.8,61.58,85.58,49.81,55.98,55.5,54.21,53.86,56.41,61.88,62.57,63.11,64.48,63.38,75.17,61.64
Average wages,0,-2.33,-0.64,-0.64,-0.42,-0.85,-0.64,0.21,0.64,0.64,1.27,0.85,1.27,1.69,1.91,2.12,1.91,2.54,2.54,2.33,2.54,2.54,3.18,3.6,2.97,3.81,4.87,4.45,4.45,5.08,4.66,4.87,5.3,5.51,5.08,5.3,5.72,6.14,6.36,6.57,7.63,6.78,7.42,7.84,7.84,8.05,8.47,8.05,8.69,8.69,9.11,9.32,9.96,10.38,10.81,10.81,12.29,11.44,11.86,12.29,12.5,11.23,13.14,13.77,14.41,14.83,14.62,15.25,15.04,14.83,14.83,15.68,15.68,12.08,12.08,12.71,12.71,14.62,16.95,18.22,19.28,20.34,20.76,20.76,20.13,16.95,22.03,23.09,22.25,23.09,23.73,24.15,24.58,24.36,27.75,26.91,27.12,28.81,27.97,28.39,29.87,30.08,31.14,31.57,32.84,33.69,34.32,34.53,35.59,36.44,37.92,38.77,41.95,40.89,40.68,42.58,40.68,41.31,41.74,
