0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Total Petrol,32770.561,32423.882,32110.1569740939,32060.7298526152,31011.1069766059,30103.1080265642,29884.1736807933,28823.8560456331,29177.3532597003,28828.6094275782,28313.1260534725,28036.0250525045,28002.2348927105,27393.4935384228,27025.0310067737,25693.2583377708,24724.2183419254,24019.2415756126,22709.2747804488,22029.3397508233,20650.2126429502,19547.9154558628,18792.1483478652,18020.0832758646,17672.1248447828,17318.5629526045,17099.8013280491,16772.1197624789,16597.8720834369,16851.1424858736,13097.2823104546,14683.3963757377,16300.1287806526
Total Diesel,12891.619,12724.468,13059.1326046849,14091.8104175709,15288.3755409906,16338.7439495137,17110.8895470709,17391.3811007093,18140.686307332,18559.405315297,18800.0069458503,18964.6125167266,19767.0778216147,20905.5330529712,22180.8339880827,23233.4323353895,24286.0022079423,25501.2479672399,25686.0434341915,25089.1378740342,25772.5871678279,25926.4829013159,26348.0423248279,26969.3321435159,27985.1057824006,28884.0313440736,30100.1591932468,30409.6196603541,30506.3278642565,30035.1276746105,25028.6879565089,27152.728023365,29551.8306188829
