0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Date,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01
Cost of Living,0,0.24,0.59,0.67,0.83,0.71,1.1,1.34,1.38,1.14,1.3,0.47,0.98,1.14,1.49,1.69,1.85,1.73,2.2,2.12,2.08,2.2,2.52,1.81,2.28,2.71,2.83,3.11,3.5,3.62,4.01,4.21,4.17,4.45,5.07,4.45,5.59,5.94,6.45,6.88,7.12,7.36,8.06,8.22,8.3,8.5,9.4,8.58,9.4,9.48,10.03,10.42,10.74,10.82,11.8,11.76,11.92,11.96,12.35,11.33,12.12,12.16,13.38,13.77,13.93,13.89,14.75,14.48,14.24,14.48,14.83,14.32,14.87,15.11,15.11,14.95,15.15,15.74,15.38,15.77,15.77,15.46,16.21,15.89,16.44,16.8,18.45,18.76,19.59,20.18,20.93,21.4,22.74,23.64,24.98,24.98,25.96,27.26,31.63,32.61,33.75,35.01,35.8,36.74,40.13,40.95,41.78,41.74,43.39,44.45,46.66,47.64,48.07,47.21,48.15,48.86,48.62,48.43,49.1,48.7
All motoring,0,-0.21,-0.04,0,-0.62,-0.17,-0.58,-0.75,-1.5,-2.54,-3.17,-5.83,-6.08,-5.12,-4.54,-4.12,-3.88,-4.17,-4.58,-5.83,-5.79,-5.25,-5.79,-6.29,-6.42,-6.04,-5.54,-4.21,-3.21,-2.75,-3.46,-2.67,-2.25,-0.71,-0.87,0.42,1.71,2.04,2.08,1.67,1.83,1.79,2.42,3.5,3.58,4.75,4.67,5.12,5.62,5.33,5.79,6.75,7.67,7.21,7.67,8.58,8.67,8.21,7.25,6.75,6.83,7.33,8.12,9.5,9.42,8.83,9.17,8.96,9.12,9.38,9.54,10.38,10.17,10.38,7.67,6.75,7,7.5,8.38,8.88,9.21,8.38,8.79,9.12,9.29,10.04,10.5,11.5,13.75,16.5,19.17,20.13,22.08,24.71,25.63,26.96,27.25,30.25,30.92,32.12,34.83,37.67,36,36.21,35.88,38.38,37.58,37.12,38.12,39.04,41.54,42.29,42.58,44.21,45.33,47.75,47.62,46.83,44.79,44.71
Purchase (motoring),0,-0.1,0.62,0.41,-0.1,0.21,0.41,-0.31,-1.14,-1.66,-1.76,-1.24,-1.24,-1.66,-1.04,-1.66,-2.07,-3,-3.62,-4.14,-4.14,-3.31,-3.31,-3,-3.73,-3.73,-4.76,-4.87,-5.07,-5.18,-5.9,-6.11,-6,-5.59,-5.59,-4.45,-3.83,-3.93,-4.24,-4.55,-5.28,-5.38,-5.59,-5.18,-4.45,-3.52,-3.62,-3.11,-2.9,-2.07,-1.97,-1.35,-1.45,-1.97,-2.07,-1.35,-1.14,-0.83,-0.21,-0.1,0.1,0,-0.52,-1.04,-1.66,-1.45,-1.97,-2.59,-2.48,-1.66,-1.66,-1.55,-0.31,0.52,1.45,1.86,1.76,1.45,2.17,3.42,4.55,4.24,4.04,4.35,3.42,3.11,3.21,3.83,6.31,10.46,13.77,15.63,18.94,21.33,21.64,22.15,22.05,21.95,20.91,20.5,19.05,19.88,20.39,21.01,21.01,21.33,21.64,21.01,21.84,22.57,25.05,25.78,24.43,23.6,22.26,22.26,20.29,18.94,17.08,18.43
Maintenance (motoring),0,-0.05,-0.03,0.15,0.38,0.38,0.78,0.55,0.85,0.93,0.98,1.48,1.7,1.8,1.98,2.23,2.35,2.48,2.51,2.48,2.58,2.71,2.88,3.08,3.21,3.56,3.66,3.96,4.08,3.86,3.93,4.23,4.46,4.83,5.01,5.06,5.09,5.41,6.14,6.41,6.76,7.11,7.54,7.89,8.07,8.17,8.22,8.99,9.24,9.67,9.74,10.15,10.15,10.85,11.2,11.55,11.8,11.97,12.07,12.2,12.3,13.05,13.15,13.55,13.8,13.83,14.08,14.28,14.5,15.03,15.08,15.86,15.83,16.73,17.11,16.73,16.58,15.88,16.71,17.41,18.01,17.94,17.28,18.39,18.46,18.71,18.64,20.09,20.44,21.92,21.29,21.29,21.72,22.67,23.02,24.87,26.4,26.95,26.58,28.41,29.18,29.36,29.61,30.51,31.81,32.92,33.19,33.79,35.9,35.15,38.08,38.88,38,40.58,39.6,42.38,42.81,41.68,43.79,46.44
Petrol & oil (motoring),0,-0.31,-0.31,0.08,0.13,0.89,-0.52,-1.29,-2.7,-5.35,-7.63,-15.32,-16.5,-13.72,-12.72,-11.04,-10.26,-10.78,-12.33,-15.87,-16.53,-17.63,-19.73,-21.93,-22.72,-22.25,-19.52,-17.34,-15.16,-14.45,-16.26,-14.64,-13.88,-10.65,-12.15,-9.29,-7.74,-8,-10.13,-11.41,-11.36,-13.04,-11.52,-9.55,-9.86,-8.45,-7.69,-7.29,-6.51,-8.24,-7.21,-4.3,-1.05,-2.12,-1.18,0.21,0.73,0.42,-3.96,-5.54,-6.48,-5.54,-3.88,-0.52,-0.05,-2.07,-1.1,-1.57,-2.05,-3.02,-3.59,-1.63,-4.51,-7.21,-15.11,-17.76,-17.08,-13.56,-12.43,-12.25,-12.36,-12.91,-11.91,-10.26,-6.95,-4.46,-3.44,-2.57,-0.39,1.63,3.25,3.23,5.35,11.33,12.25,11.23,12.93,24.27,27.07,29.62,40.84,47.01,35.44,31.61,28.57,32.79,25.47,20.78,18.86,17.68,15.79,13.41,9.76,9.55,13.54,18.68,20.3,18.47,12.04,9.05
Tax & insurance (motoring),0,-0.2,-0.58,-0.8,-3.37,-2.99,-3.19,-1.45,-1.6,-1.29,-0.16,-1.16,-0.38,0.22,0.47,0.67,1.31,2.07,3.92,4.84,6.16,9.55,10.35,10.97,13.18,14.18,14.01,17.51,19.49,21.14,22.46,23.93,24.29,25.89,27.81,27.1,30.78,33.45,38.56,39.07,41.61,45.01,46.05,47.63,46.77,48.77,46.61,47.04,47.79,46.59,47.26,45.59,44.91,45.34,46.3,47.15,45.65,42.04,42.86,42.44,44.36,45.56,49.42,52.83,52.96,52.59,54.48,55.82,57.69,58.39,61.17,61.55,64.25,69.63,68.33,68.31,68.46,64.67,65.01,64.16,63.4,59.86,61.35,57.65,55.15,56.69,57.74,59.99,63.18,63.29,68.58,68.98,67.02,65.03,68.67,77.37,75.4,77.66,82.09,86.26,90.7,98.13,103.35,108.27,110.1,118.91,124.24,130.46,137.98,146.39,158.18,166.23,183.87,198.28,204.97,210.41,212.56,216.86,219.92,218.31
Average wages,0,-2.33,-0.64,-0.64,-0.42,-0.85,-0.64,0.21,0.64,0.64,1.27,0.85,1.27,1.69,1.91,2.12,1.91,2.54,2.54,2.33,2.54,2.54,3.18,3.6,2.97,3.81,4.87,4.45,4.45,5.08,4.66,4.87,5.3,5.51,5.08,5.3,5.72,6.14,6.36,6.57,7.63,6.78,7.42,7.84,7.84,8.05,8.47,8.05,8.69,8.69,9.11,9.32,9.96,10.38,10.81,10.81,12.29,11.44,11.86,12.29,12.5,11.23,13.14,13.77,14.41,14.83,14.62,15.25,15.04,14.83,14.83,15.68,15.68,12.08,12.08,12.71,12.71,14.62,16.95,18.22,19.28,20.34,20.76,20.76,20.13,16.95,22.03,23.09,22.25,23.09,23.73,24.15,24.58,24.36,27.75,26.91,27.12,28.81,27.97,28.39,29.87,30.08,31.14,31.57,32.84,33.69,34.32,34.53,35.59,36.44,37.92,38.77,41.95,40.89,40.68,42.58,40.68,41.31,41.74,
