0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Country,1: Denmark,2: Netherlands,3: Greece,4: Finland,5: France,6: Italy,7: Germany,8: Portugal,9: Ireland,10: United Kingdom,11: Estonia,12: Latvia,13: Sweden,14: Belgium,15: Slovakia,16: Austria,17: Spain,18: Hungary,19: Luxembourg,20: Poland,21: Croatia,22: Czechia,23: Lithuania,24: Slovenia,25: Romania,26: Cyprus,27: Malta,28: Bulgaria
Pre-Tax & Duty Cost,0.79,0.71,0.68,0.66,0.72,0.67,0.66,0.69,0.65,0.65,0.69,0.68,0.69,0.64,0.67,0.62,0.71,0.7,0.66,0.7,0.62,0.61,0.64,0.54,0.66,0.66,0.5,0.63
Tax & Duty,0.93,0.97,0.92,0.92,0.85,0.9,0.89,0.77,0.81,0.77,0.71,0.74,0.72,0.75,0.7,0.73,0.64,0.62,0.66,0.58,0.64,0.65,0.62,0.67,0.54,0.5,0.64,0.5
