0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Country,1: Finland,2: Denmark,3: Netherlands,4: Italy,5: France,6: Belgium,7: Germany,8: United Kingdom,9: Sweden,10: Greece,11: Austria,12: Ireland,13: Latvia,14: Hungary,15: Portugal,16: Estonia,17: Lithuania,18: Croatia,19: Slovakia,20: Luxembourg,21: Poland,22: Spain,23: Czechia,24: Slovenia,25: Cyprus,26: Romania,27: Bulgaria,28: Malta
Pre-Tax & Duty Cost,0.89,0.85,0.84,0.73,0.76,0.74,0.77,0.72,0.87,0.82,0.77,0.72,0.76,0.79,0.76,0.84,0.79,0.77,0.78,0.78,0.76,0.75,0.72,0.64,0.77,0.74,0.68,0.47
Tax & Duty,0.75,0.72,0.72,0.8,0.77,0.77,0.74,0.78,0.62,0.64,0.68,0.74,0.67,0.62,0.64,0.55,0.59,0.6,0.57,0.57,0.56,0.55,0.56,0.62,0.49,0.52,0.47,0.56
