Date,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
BEV,5791,6066,6238,6372,6683,7211,7362,7878,8183,8708,9231,9886,11102,12530,14689,16564,18877,20776,22893,25695,28632,30432,33250,35154,39269,41963,45696,48417,52402,55530,59563,63892,69377,75429,88147,101356,119924,132089,167960,209610,242220,286394,338028,407541,473586,528309,586997,673660,749704,832179,921692,,,,
PHEV,175,172,172,177,260,535,978,1168,1475,1678,1934,2230,2720,3671,6485,9894,15724,19513,23617,27760,35772,42256,49342,55221,63166,70093,79089,87254,96368,106156,116944,126688,134581,139956,146564,156677,168366,173905,194550,215771,239845,271353,298563,323853,351044,373316,393522,416587,444570,473602,506938,,,,
BEV (provisional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944369,967213,993216,1012851
PHEV (provisional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516249,526511,534973,544058
